Species	Molecular weight	Collision diameter	kb* inverse  Collision energy (k/eps)
c19ooh15oo17-2	0.331	7.79e-10	0.000852158944686363
c19ooh4-oo7-2	0.331	7.79e-10	0.000852158944686363
c19ooh1-oo5-2	0.331	7.79e-10	0.000852158944686363
c20ooh12oo10-2	0.345	7.86e-10	0.00081727390117524
c20ooh6-oo9-2	0.345	7.86e-10	0.00081727390117524
c20ooh7-oo6-2	0.345	7.86e-10	0.00081727390117524
c20ooh11oo9-2	0.345	7.86e-10	0.00081727390117524
c20ooh12oo14-2	0.345	7.86e-10	0.00081727390117524
c20ooh16oo12-2	0.345	7.86e-10	0.00081727390117524
c20ooh6-oo8-2	0.345	7.86e-10	0.00081727390117524
c20ooh7oo11-2	0.345	7.86e-10	0.00081727390117524
c20ooh11oo14-2	0.345	7.86e-10	0.00081727390117524
c20ooh16oo14-2	0.345	7.86e-10	0.00081727390117524
c20ooh12oo9-2	0.345	7.86e-10	0.00081727390117524
c20ooh15oo19-2	0.345	7.86e-10	0.00081727390117524
c20ooh11oo8-2	0.345	7.86e-10	0.00081727390117524
c20ooh15oo13-2	0.345	7.86e-10	0.00081727390117524
c20ooh6-oo3-2	0.345	7.86e-10	0.00081727390117524
c20ooh4-oo1-2	0.345	7.86e-10	0.00081727390117524
c20ooh10oo14-2	0.345	7.86e-10	0.00081727390117524
c20ooh13oo16-2	0.345	7.86e-10	0.00081727390117524
c20ooh14oo16-2	0.345	7.86e-10	0.00081727390117524
c20ooh10oo12-2	0.345	7.86e-10	0.00081727390117524
c20ooh4-oo8-2	0.345	7.86e-10	0.00081727390117524
c20ooh13oo14-2	0.345	7.86e-10	0.00081727390117524
c20ooh9oo12-2	0.345	7.86e-10	0.00081727390117524
c20ooh12oo13-2	0.345	7.86e-10	0.00081727390117524
c20ooh10oo7-2	0.345	7.86e-10	0.00081727390117524
c20ooh9-oo5-2	0.345	7.86e-10	0.00081727390117524
c20ooh4-oo7-2	0.345	7.86e-10	0.00081727390117524
c20ooh12oo11-2	0.345	7.86e-10	0.00081727390117524
c20ooh15oo16-2	0.345	7.86e-10	0.00081727390117524
c20ooh2-oo6-2	0.345	7.86e-10	0.00081727390117524
c20ooh4-oo6-2	0.345	7.86e-10	0.00081727390117524
c20ooh8oo12-2	0.345	7.86e-10	0.00081727390117524
c20ooh5-oo7-2	0.345	7.86e-10	0.00081727390117524
c20ooh3-oo2-2	0.345	7.86e-10	0.00081727390117524
